岗位名称,区位,薪资,工作年限,学历,关键词1,关键词2,关键词3,公司名,企业类别,企业规模,岗位要求,更新时间,来源
算法专家（LLM方向）,北京,30-50k·16薪,5-10年,本科,视觉算法,,,某上海大型生活服务O2O公司,生活服务O2O,10000人以上,"职位介绍
视觉算法
我们是阿里巴巴本地生活到家搜索算法团队，核心算法工作涉及：Query理解、召回、排序、智能展示等核心业务。
饿了么搜索方向的迭代，业务涉及餐饮、零售、医药，具体工作如下：
1、文本内容：推荐理由的挖掘、商品标题的优化、商品卖点的挖掘等；
2、智能创意：商品图片的美化、图文自适应合成、文本生成图片、图像搜索、视频理解等。
岗位描述：
1、扎实的代码功底和工程开发能力，有较强的数据分析和解决实际问题的能力；
2、具备机器学习/自然语言处理/视觉算法至少一种研究背景和项目背景；
3、有良好的沟通能力、团队合作意识、工作责任心；
4、LLM和多模态内容理解方面有丰富经验优先考虑。
其他信息
语言要求：普通话
行业要求：生活服务O2O",2023-12-08,猎聘
AI产品经理,北京,15-25k,1-3年,本科,策略产品,产品优化,竞品分析,北京森博明德营销管理顾问股份有限公司,广告/公关/会展,100-499人,"职位介绍
策略产品
产品优化
竞品分析
1、推进公司AIGC相关产品落地，结合公司的关键业务场景，输出产品策略和落地方案
2、熟悉python等，对自然语言、深度学习算法有基本的认知
3、熟练使用gpt，mj等主流aigc软件
4、对B端市场保持嗅觉，有非常好的产品sense，可以根据市场调研的结果进行产品的设计及开发，建立清晰的监控指标和评估模型，优化产品能力，形成有序的产品迭代更新
5、根据项目的情况需求，能主动推进工作，强烈自我驱动品质；有良好的团队合作能力，善于沟通
6、跟踪行业竞品动态，推进内外部的产品能力对齐，我们给予你足够的空间和权限，发挥你的feature
其他信息
语言要求：英语
行业要求：全部行业
所属部门：CeMeta",2023-12-08,猎聘
搜索排序模型算法工程师,北京,30-50k·15薪,1-3年,硕士,TensorFlow,PyTorch,,美团,生活服务,10000人以上,"职位介绍
TensorFlow
PyTorch
美团平台汇聚美食、外卖、酒店旅游、电影、打车、共享单车、休闲玩乐、美容美发等200多个品类和900万活跃商家，是具有全国影响力的零售科技平台。
我们团队不仅负责美团App的用户增长、大前端技术基础设施建设、公司语音和智能交互技术及产品研发，还承担了多条业务线的产品设计及品牌营销职责，同时整合地图服务部、客户服务和体验部等部门，致力于用科技提升美团数亿消费者、数百万商家、骑手、司机和团长的服务体验。美团平台拥有高并发、多业务的复杂场景，为技术深度优化提供了最佳实践可能。这里有简单、讲逻辑、有爱的团队，更是一块理想的实战场地，舞台广阔，欢迎你来尽情施展。
岗位职责
负责美团搜索排序模型算法的改进，包括多目标精排建模、用户行为序列建模、多模态语义相关性建模等
岗位基本需求
1. 深入理解机器学习、自然语言处理和数据挖掘算法，并能很好地应用于搜索问题；
2. 有搜索、推荐或者广告方向相关算法工作经验；
3. 熟悉Linux开发环境，熟练使用Java、Python等语言；
4. 熟悉一种主流的分布式深度学习计算框架TensorFlow/PyTorch；
5. 具备较强的团队协作能力和沟通能力，学习能力强。
具备以下者优先
1.研究过开源软件的源码并有心得者；
2.有开源作品者；
3.有妥善经营的技术博客者；
4. 有短视频或直播方向搜广推算法经验者。
岗位亮点
1. 业务高速发展
2. 搜索核心场景
3. 团队探索创新
其他信息
所属部门：搜索排序组?""职位介绍 视觉算法  图像分析   １、【工作年限】：８年以内工作经验 ２、【行业背景】：互联网背景，有C端经验优先    岗位描述 ：     搜索算法团队，核心算法工作涉及：Query理解、召回、排序、智能展示等核心业务。 搜索方向的迭代，业务涉及餐饮、零售、医药，具体      工作如下：       1、文本内容：推荐理由的挖掘、商品标题的优化、商品卖点的挖掘等；        2、智能创意：商品图片的美化、图文自适应合成、文本生成图片、图像搜索、视频理解等。         岗位要求 ：          1、扎实的代码功底和工程开发能力，有较强的数据分析和解决实际问题的能力； 2、具备机器学习/自然语言处理/视觉算法至少一种研究背景和项目背景； 3、有良好的沟通能力、团队合作意识、工作责任心； 4、LLM和多模态内容理解方面有丰富经验优先           其他信息            语言要求：不限             行业要求：生活服务O2O""",2023-12-08,猎聘
电力应急指挥数字化技术研发工程师,北京-昌平,20-30k,3-5年,硕士,数据分析,数据挖掘,Javascript,国网智能电网研究院有限公司,电力/热力/燃气/水务,1000-2000人,"职位介绍
数据分析
数据挖掘
Javascript
职责描述：
1.负责开展知识抽取、知识图谱构建等电力应急知识库构建相关技术研究；
2.负责电力应急预案智能拆解、突发事件应急处置任务靶向发布、处置方案智能生成等自然语言处理方向的算法、系统与装备研发；
3.协助开展国家或公司科技项目申报、成果培育、专利布局、标准制定等工作。
任职要求：
1.40周岁以下；3年以上相关工作经验；全日制硕士研究生及以上学历；
2.具有应急或电力系统领域大数据分析或知识图谱构建相关工作经验；
3.具备较强的算法研发和学术研究能力，熟悉自然语言处理、机器学习、数据挖掘等人工智能技术；
4.熟练Python、Java等至少一门开发语言，熟悉Gremlin、SPARQL等图数据库语言；
5.具备良好的沟通表达能力与技术文档编撰能力，能够独立完成技术方案、研究报告编制。
6.拥有国家级、省部级项目申报经验者优先；能够熟练运用电网仿真软件并掌握电网设备仿真算法者优先；拥有电网安全应急业务相关项目经验者优先。
其他信息
语言要求：英语、普通话
所属部门：智研院数字化所电力安全与应急研究室",2023-12-08,猎聘
算法开发工程师,北京-朝阳,30-60k·15薪,3-5年,本科,CNN,RNN,GNN,聘达人科技集团有限公司,人力资源服务,,"职位介绍
CNN
RNN
GNN
岗位职责：
1.负责机器学习、计算机视觉、自然语言处理等相关算法的开发设计、性能优化，工业算法模型的构建与调优；
2.研发适用于上述业务场景的自动化预测、建模、测试、仿真、人机交互等相关系统
3.根据业务需求构建数据模型，包括数据模型构建、自动化机器学习（特征工程、模型优化等）、模型部署等，包括模块的实际开发以及与客户自身系统的对接；
4.负责相关算法模型的工程化实践和技术落地的实现，实现仿真、机器学习、AI工程系统的技术落地。
5.负责相关机器人感知、视觉等算法模型与云平台核心能力的沟通协调，实现算法模型与云平台的融合互通。
任职要求：
1.全日制普通高等院校本科及以上学历，计算机视觉、图像处理、模式识别、机器学习等相关专业背景，3年以上算法应用经验；
2.精通常用的深度学习模型如CNN，RNN，GNN以及通用的机器学习模型，熟悉常用的机器学习方法与步骤；
3.熟练使用Python，熟悉至少一种深度学习框架比如Caffe，TensorFlow, MXNet, (Py)Torch, 等，具备快速的模型迭代与代码实现能力；
4.最好具有一定程序设计能力和自学能力；
5.良好的沟通和协调能力。
其他信息
所属部门：技术部",2023-12-08,猎聘
搜索排序算法工程师,北京-朝阳,35-55k·15薪,3-5年,硕士,数据挖掘,TensorFlow,PyTorch,美团,生活服务,10000人以上,"职位介绍
数据挖掘
TensorFlow
PyTorch
美团平台汇聚美食、外卖、酒店旅游、电影、打车、共享单车、休闲玩乐、美容美发等200多个品类和900万活跃商家，是具有全国影响力的零售科技平台。
我们团队不仅负责美团App的用户增长、大前端技术基础设施建设、公司语音和智能交互技术及产品研发，还承担了多条业务线的产品设计及品牌营销职责，同时整合地图服务部、客户服务和体验部等部门，致力于用科技提升美团数亿消费者、数百万商家、骑手、司机和团长的服务体验。美团平台拥有高并发、多业务的复杂场景，为技术深度优化提供了最佳实践可能。这里有简单、讲逻辑、有爱的团队，更是一块理想的实战场地，舞台广阔，欢迎你来尽情施展。
岗位职责
负责美团搜索排序算法的改进，包括多任务多场景统一建模、用户行为序列建模、深度语义相关性建模等
岗位基本需求
1. 深入理解机器学习、自然语言处理和数据挖掘算法，并能很好地应用于搜索问题；
2. 有搜索、推荐或者广告方向相关算法工作经验；
3. 熟悉Linux开发环境，熟练使用Java、Python等语言；
4. 熟悉一种主流的分布式深度学习计算框架TensorFlow/PyTorch；
5. 具备较强的团队协作能力和沟通能力，学习能力强。
具备以下者优先
1.研究过开源软件的源码并有心得者；
2.有开源作品者；
3.有妥善经营的技术博客者。
岗位亮点
1. 业务高速发展
2. 搜索核心场景
3. 团队探索创新
其他信息
所属部门：技术部",2023-12-08,猎聘
nlp自然语言处理工程师,北京-海淀,40-70k,经验不限,硕士,自然语言处理,自动摘要,nlp,百度时代网络,在线社交/媒体,10000人以上,"职位介绍
自然语言处理
自动摘要
nlp
文本相关性
实体识别
职责描述：
利用自然语言处理和机器学习算法对搜索、推荐相关数据进行理解分析，包括不限于：term提取、文本相关性、实体提取、自动摘要、文本生成等相关项目；
任职要求：
1 要求有nlp相关项目经验，term提取、文本相关性相关经验优先；
2 熟悉nlp常见模型的基本原理，例如bert、lstm等；
3 熟悉前沿论文动态，有顶会顶刊的论文优先；
4有大模型相关经验优先",2023-12-08,猎聘
阿里云智能-算法开发专家-北京,北京,10-20k,经验不限,硕士,算法优化,优化算法,追踪算法,阿里巴巴集团,互联网,10000人以上,"职位介绍
算法优化
优化算法
追踪算法
知识图谱
推荐算法
TensorFlow
PyTorch
职位描述
1. 参与阿里云中小企业应用产品的搜索和推荐算法优化和创新，包括但不限于对召回、粗排、精排多个环节进行优化，通过序列建模、迁移学习、多目标预估、用户长短兴趣建模、图模型等技术提升算法效果；
2. 参与阿里云中小企业应用产品的商机挖掘算法及优化，包括但不限于目标人群放大、商品交叉推荐、营销活动算法优化、利用深度学习与多模态表达技术对商品进行深度理解、分类与相似性度量计算，利用深度学习对用户兴趣进行建模相似性度量计算等；
3. 参与阿里云中小企业应用产品域名、备案、商标业务的合规风控的算法建模和优化，包括但不限于针对风险业务相关数据的自然语言处理、文本挖掘相关技术、知识图谱建设及应用，探索面向语义分析、知识推理等技术的解决方案和实践。
4. 参与阿里云中小企业应用产品的智能诊断和智能设计，包括但不限于业务数据对资质的诊断、审核通过率预估，图片的文案生成、模板推荐等；
职位要求
1. 机器学习、人工智能、计算机、统计学等相关专业硕士及以上学历，3年以上工作经历；
2. 扎实的统计分析、机器学习理论基础，熟悉经典机器学习、深度学习、自然语言处理等相关算法，扎实的工程能力，有实际使用Pytorch/Tensorflow/Caffe等框架研发机器学习模型的经验；
3. 扎实的算法和数据结构基础，至少熟练使用Java/Python/C++其中一种编程语言；
4. 在如下领域有研究背景或者多年工作经验的优先：搜索推荐、广告、表征学习、强化学习、自然语言处理、知识图谱；
5. 有良好的沟通能力，跨团队协作能力，能够从复杂的业务场景中进行算法选型，算法优化，不断提升效果，对项目效果追求极致，有极强的自我驱动力；
6. 追踪算法前沿技术，探索将新技术应用于实际业务。",2023-12-08,猎聘
资深爬虫工程师,北京,40-50k,3-5年,本科,python,java,redis,北京赐博德科技有限公司,专业技术服务,,"职位介绍
python
java
redis
mysql
css
javascript
sql
go
oracle
c#
岗位职责：
1.爬虫工程师leader，汇报人:技术总监
2.负责爬虫引擎核心功能开发及优化、架构设计、系统规划，以及爬虫技术的技术调研；
3.负责大数据的数据采集与爬取、解析处理、入库及备份等数据日常工作；
4.负责数据的清洗、整理、整合及合并等工作；
5.破解反爬机制，优化爬虫路由调度策略，同时负责反爬策略的设计及优化；
6.负责高性能爬虫系统的后台监控、报警模块的开发。
职位要求：
1.熟练使用C/C++、Java、C#、.Net、Go中一种编程语言，熟悉至少一种脚本语言，如shell、python进行工作；
2.熟悉爬虫的设计及实现流程，至少4年互联网数据抓取及爬虫经验；
3.熟悉缓存数据库redis,关系型数据库mysql、Oracle等，非关系型数据库MangDB,具备sql调优经验；
4.了解各种Web前端技术，包括XHTML/XML/CSS/JavaScript/AJAX等；
5.了解文本分类、统计分析、自然语言处理、机器学习算法等技术；
6.熟悉反爬虫机制并有对应的破解方案；
7.处理爬取过超过百万数量级的数据量；
8.有大数据相关开发经验者优先，熟悉分布式计算，有多线程、分布式、网络数据抓取及处理经验优先；
9.有政府政务行业工作经验优先，尤其社会信用方向。",2023-12-08,猎聘
深度学习算法实习生,北京-海淀,6-15k,经验不限,本科,深度学习,自然语言处理,算法研究,康迈迪森,专业技术服务,1-49人,"职位介绍
深度学习
自然语言处理
算法研究
岗位职责：
1、 参与化学相关文本中自然语言处理方向的算法研发
2、 应用NLP技术在具体业务场景中解决实际需求，优化模型准确率和效率
3、 探索NLP在药物设计领域的应用
4、 跟进行业前沿技术发展趋势，跟踪国际最新算法发展方向和相关技术
岗位要求：
1、 熟练掌握自然语言处理NLP相关理论与技术方法
2、 熟悉Python，有良好的编程能力，熟悉TensorFlow、Python、Pytorch中至少一种深度学习框架
3、 熟悉了解人工智能、机器学习等领域的前沿方向与研究动向
4、 具备将机器学习与自然语言处理的理论转化为实践的能力
5、 具有化学相关背景或项目研发经验者优先
6、 具备良好的学习能力和独立工作能力，乐于探索和解决问题，对未知领域能快速掌握并实践应用
7、 计算机或数学相关本科以上学历，数学功底扎实，具有良好的数据挖掘和深度学习的知识
8、 在以下至少一个领域有深入研究： NLP算法，深度强化学习，图网络等
9、 有激情，责任心强，执行力强，团队合作和沟通能力佳
其他信息
语言要求：英语、普通话
所属部门：软件开发部门",2023-12-08,猎聘
算法研究员（NLP方向）,北京,20-40k·15薪,经验不限,硕士,自然语言处理,算法研究,深度学习,商汤科技SenseTime,计算机软件,2000-5000人,"职位介绍
自然语言处理
算法研究
深度学习
深度学习框架
职责描述:
1.负责实现和迭代自然语言处理相关的算法以支撑企业数字化相关业务上自然语言理解和生成等需求，例如信息抽取，文档分析及检索，对话交互和视觉定位(Visual Grounding)等
2与工程团队协作实现相关算法集成进产品，并支撑在实际业务场景中的迭代优化
3负责某一细分领域的深入算法研究，例如但不限于自监督学习Transformer网络结构设计，小样本和零样本学习等
4维护相关研究和业务方向的基准 (代码、数据、Prompt/lnstruction将创新算法沉淀为论文、技术报告或专利案，
任职要求:
1. 硕士及以上学历，计算机、电子信息或软件等相关专业，有NLP/多模态/机器学习相关经验的其他专业背景亦可
2. 有较强的研究能力和代码能力，熟练使用深度学习框架
3. 具有优秀的分析问题和解决问题的能力
4. 具有良好的沟通能力和团队合作能力，富有工作激情敢于突破创新
5. 在国际顶尖期刊或会议发（如ACL, EMNLP， NACCL，NeurIPS等）表过论文者或者知名NLP比赛中有优异表现优先
6. 有语言/多模态基模型训练开发和Prompt/Instruction Learning研究或工程经验的优先",2023-12-08,猎聘
风控策略,北京-朝阳,15-30k·13薪,1-3年,本科,数据建模,数据挖掘,数据分析,北京印行信息技术有限公司,互联网,,"职位介绍
数据建模
数据挖掘
数据分析
k-means
关联分析
LR
非关系型数据库
SAS
岗位职责：
1、对海量的业务数据，用户数据，行为数据进行深度挖掘分析，发现数据背后的规律，用于构建用户画像、营销以及风控的建模。
2、利用数据挖掘、机器学习、关联分析以及自然语言处理等相关算法，解决业务需求，有效控制坏账、提高产品用户体验。
3、信贷风控模型设计与开发:负责信贷风控模型的设计、开发、测试和实施，包括但不局限于申请评分模型、行为评分模型、催收评分模型、反欺诈模型等的框架设计开发、参与模型部署。
4、信贷模型策略实施:将模型应用到金融业务的风险管理流程和决策中，通过模型的判断和计算，对用户行为及表现作出准确的预判，监控模型上线效果、迭代优化模型本身和使用方法，针对市场变化等采取相应的措施。
任职资格:
1、有互联网大数据分析建模经验、金融数据建模分析2年及以上经验者优先;对信贷风控全流程有经验者优先。
2、985、211或海外等同学校本科以上学历（硬性要求），数据科学、统计、应用数学、经济、计算机、金融、工程等专业，有海外留学经验的优先。
3、有较强的数学、统计、数据挖掘的基础知识;熟练掌握和使用常用的风险模型工具如线性回归、逻辑回归、树模型、聚类分析等基本的统计学工具，对最新的算法有一定了解。
4、熟练使用Python，SQL，R，SAS统计建模，使用SQL取数，熟悉主流多种NoSQL数据库，MongoDB等。
5、工作中主动自驱、结果导向，善于跨部门沟通合作;注重团队协作，有独立承担项目的经验和能力，具有优秀的职业素养和抗压能力。
6、优先：能熟练使用英语交流和读写。
其他信息
语言要求：英语",2023-12-08,猎聘
语音识别-语言模型算法工程师,北京,20-40k·14薪,1-3年,硕士,python,shell,语音识别,京东,互联网,10000人以上,"职位介绍
python
shell
语音识别
自然语言处理
机器学习
职责描述：
1.负责语音识别中语言模型的优化工作，包括ngram和rnnlm的优化
2.负责优化分词算法，提高分词准确率
3.负责调研前沿语言模型技术，并应用到线上产品
4.对业务方提出的需求，快速制定解决方案并实施
任职要求：
1.计算机及相关专业硕士及以上学历
2.有2年以上的语音识别或NLP工作经验
3.熟悉常用的自然语言处理和机器学习算法，有语言模型相关工作经验者优先
4.具有扎实的编程基础和数据结构算法基础，较强的编程能力和解决问题的能力
5.善于交流，有良好的团队合作精神和沟通能力，有和产品、数据等多方配合的经验和意识
6.熟悉使用C/C++，Python和shell等编程语言
7.熟悉kaldi，srilm等工具者优先
其他信息
所属部门：京东集团-京东科技-智能客服产品部",2023-12-08,猎聘
算法工程师,北京-朝阳,20-35k,3-5年,本科,自然语言处理,医疗领域,智能医疗,张家口花椒科技有限公司,互联网,,"职位介绍
自然语言处理
医疗领域
智能医疗
智能问答
岗位职责：
1.负责大健康领域自然语言处理方向的算法研究、产品开发和性能提升，包括但不限于自然语言理解、自然语言生成、实体识别、关系提取、自由问答、自动摘要等，实施多模态数据对齐；
2.对预训练好的模型进行fine-tuning，以满足特定应用场景的需求，如对话生成、情感分析、文本分类等；
3.负责语料库的采集、整理和数据制作，以满足模型训练需求，掌握数据增强和降噪技术；
4.针对模型性能进行系统评估，优化模型训练策略，提高计算资源的利用效率；
5.跟进并了解业界最新研究成果和技术动态，持续优化模型和算法，如零样本学习、自监督学习等技术；
6.与团队成员密切合作，共同完成项目目标，协助其他团队成员解决技术难题。
任职要求：
1.本科以上学历，计算机科学、数据科学、人工智能等相关专业；
2.熟练掌握深度学习、自然语言处理等相关领域的理论知识和技术，有大健康或医疗行业从业经历；
3.熟悉GPT系列模型及其底层原理，有实际操作经验和相关项目经历者优先；
4.具备扎实的编程基础，熟练使用C/C++、Python，掌握PyTorch、TensorFlow等深度学习框架，具备对Transformer架构及其变体的深入理解；
5.熟悉常见的自然语言处理任务，如文本生成、语义理解等；
6.具备良好的数据预处理和数据分析能力，熟悉主流数据处理工具如pandas、NumPy等；
7.熟悉大数据平台和计算引擎使用（如Greenplum、Hive、Spark、Flink等），具备熟练的SQL操作经验；
8.具备较强的学术和技术沟通能力，能够高效地与团队成员合作，撰写技术文档和报告。
其他信息
语言要求：普通话",2023-12-08,猎聘
数据算法工程师,北京-海淀,30-60k·14薪,3-5年,硕士,自然语言处理,数据处理,语言模型,北京面壁智能科技有限责任公司,人工智能,50-99人,"职位介绍
自然语言处理
数据处理
语言模型
算法开发
PyTorch
岗位职责：
1. 参与大规模预训练语言模型的数据算法工作，主要涉及数据清洗策略与算法制定、数据去重算法、数据质量评估等;
2. 根据需求复现相关自然语言处理与数据处理算法与开源模型性能;
3. 参与前沿算法与应用的研究。
职位需求:
1. 自然语言处理、机器学习、大数据处理及相关专业、3年以上相关工作经验;
2. 较强的算法开发能力，熟悉C++、python、shell、cuda等一种或多种编程语言;
3. 掌握传统NLP、深度学习NLP、数据处理相关算法，并具有相关实战经验;
4. 熟悉 Pytorch 等深度学习框架、了解spark等大数据分析工具；
5. 对深度学习、Transformer、预训练有一定深度的理解和经验，能根据论文复现相关算法，有大规模预训练模型研发和训练经验者优先。",2023-12-08,猎聘
AI测试工程师,北京-海淀,35-65k·18薪,经验不限,博士,算法测试,自动化测试,,荣耀终端,通信设备,10000人以上,"职位介绍
算法测试
自动化测试
【岗位职责】
1、负责AI相关业务需求(例如语音助手、智慧视觉、智慧识屏、感知、画像、围栏等)测试方案的设计与实现；
2、负责智慧AI相关引擎能力(ASR/NLU/TTS等)的语料构筑及测试能力评估；
3、负责智慧AI测试平台构筑，建立原子化标注能力、算法模型自动化测试能力、AI引擎在线评估能力，探索用AI测试AI的方案。
【任职要求】
1.熟悉大数据分析技术及各类计算引擎或平台工具；
2.熟悉图像处理/计算机视觉/预测推荐/深度学习等相关原理和方法，具有算法评估、特性交付经验者优先，包含但不限于OCR、ASR、NLP等；
3.掌握常用机器学习、自然语言处理、优化算法，有相关理论功底和相关实践经验者优先；
4.掌握标签分类体系，熟悉用户画像维度组织分类，精通产品偏好、兴趣偏好等模型与预测算法者优先；",2023-12-08,猎聘
自然语言处理（NLP）,北京-朝阳,40-70k·16薪,经验不限,本科,python,java,自然语言处理,阿里巴巴集团,互联网,10000人以上,"职位介绍
python
java
自然语言处理
深度学习
机器学习
实体识别
c++
职位描述：NLP算法专家/高级工程师
为搜索、信息流、视频等广告业务提供NLP算法能力。主要工作包括：
1. 负责自然语言处理相关底层技术建设
2、面向数据研究点包括自动化数据预处理和特征工程、个性化数据增强扩充数据、主动学习建立更加智能的标注；面向算法研究点包括预训练模型（如Bert）、知识蒸馏、小样本建模和数据迁移学习等；基础算法如分词、词权重、实体识别、文本分类、文本生成、文本匹配、序列标注等; 面向场景应用，包括搜索相关性、落地页关键词提取、多模态匹配、标题生成等
3、能够根据业务需求转化为算法问题，快速利用自然语言处理/机器学习算法落地，提供解决方案
职位要求：
1. 计算机/电子类/数学/统计等硕士及以上学历，具有扎实的自然语言处理/机器学习理论基础； 两年以上自然语言处理经验，包括语法分析、句法分析、语义表示等，有搜索引擎、推荐系统等实践经验加分
2. 熟悉NLP/机器学习常用开发框架，熟悉TF/Pytorch等深度学习工具，能够针对任务分析调优算法；
3. 扎实的编程基础，至少精通一种编程语言，如Python，C/C++，Java等
4. 具有良好的数学基础，良好的英语阅读能力，在顶级刊物会议发表文章／顶级竞赛获奖者优先
5. 有团队意识，与他人合作良好，有强烈求知欲，对人工智能领域相关技术有热情",2023-12-08,猎聘
自然语言处理（NLP）,北京,25-40k,5-10年,硕士,tensorflow,python,keras,北京诺道认知医学科技有限公司,IT服务,50-99人,"职位介绍
tensorflow
python
keras
shell
自然语言处理
自动摘要
深度学习
机器学习
实体识别
岗位职责:
1、AI负责人，带领团队针对重大科技难点进行技术攻关；
2、深入了解公司业务，对接各个业务负责人，技术驱动算法在各个业务的落地；
3、针对海量生物医学文献进行关键信息提取，涉及的问题包括但不限于自然语言理解、自然语言生成、实体识别、关系提取和自动摘要；
4、带领团队针对领域相关的语料库的收集以及预训练模型构建；
5、紧跟业界最新自然语言处理技术动态，深入研发自然语言处理相关的算法，参与相关产品系统的研发。
岗位要求:
1、硕士及以上学历，5年以上工作经验，计算机、数学、通信等相关专业，有自然语言处理项目经验；
2、熟练掌握自然语言处理，信息检索和机器学习的基本方法；
3、较强的算法实现能力，熟练掌握C++/Python/Shell编程；
4、熟悉至少一种深度学习框架：PyTorch、Tensorflow、Keras；
5、熟悉自然语言处理领域的最新研究成果，公开数据集，和相关的开源系统；
6、较强的沟通表达能力，有很好的口头表达能力和出色的文档写作能力，善于深入浅出地表达和解释复杂的事物；
7、较强的自学能力和独立思考能力，善于思考和表达自己的想法；同时又具备良好的团队合作精神。",2023-12-08,猎聘
后端技术开发工程师,北京,18-21k·13薪,1-3年,本科,python,java,redis,北京隆羿行信息科技有限公司,专业技术服务,,"职位介绍
python
java
redis
mysql
javascript
go
oracle
系统爬虫
网络爬虫
全栈开发
岗位职责：
1.负责爬虫引擎核心功能开发及优化、架构设计、系统规划，以及爬虫技术的技术调研；
2.负责大数据的数据采集与爬取、解析处理、入库及备份等数据日常工作；
3.负责数据的清洗、整理、整合及合并等工作；
4.破解反爬机制，优化爬虫路由调度策略，同时负责反爬策略的设计及优化；
5.负责高性能爬虫系统的后台监控、报警模块的开发。
职位要求：
1.熟练使用C/C++、Java、C#、.Net、Go中一种编程语言，熟悉至少一种脚本语言，如shell、python进行工作；
2.熟悉爬虫的设计及实现流程，最好至少1年互联网数据抓取及爬虫经验；
3.熟悉缓存数据库redis,关系型数据库mysql、Oracle等，非关系型数据库MangDB,具备sql调优经验；
4.了解各种Web前端技术，包括XHTML/XML/CSS/JavaScript/AJAX等；
5.了解文本分类、统计分析、自然语言处理、机器学习算法等技术；
6.熟悉反爬虫机制并有对应的破解方案；
7.处理爬取过超过百万数量级的数据量；
8.有大数据相关开发经验者优先，熟悉分布式计算，有多线程、分布式、网络数据抓取及处理经验优先；
9.有大型软件工程经验为先",2023-12-08,猎聘
机器学习算法工程师-电商治理,北京,35-65k·15薪,3-5年,本科,深度学习,风控算法,文本分类,某上海大型互联网公司,互联网,1000-2000人,"职位介绍
深度学习
风控算法
文本分类
知识图谱
数据挖掘
算法研究
算法开发
工作职责
1、负责电商交易生态算法开发工作；
2、深入理解电商平台治理业务，综合应用机器学习、数据挖掘等技术，优化模型&策略，持续提升治理效果；
任职资格
1、2年以上算法研发经历，计算机相关专业本科及以上学历，有电商平台治理或风控工作经验；
2、熟悉机器学习理论，熟悉常见深度学习算法，熟悉图网络或风控相关算法；
3、具备优秀的编码能力，扎实的数据结构和算法功底，至少熟悉一种常见的机器学习/深度学习平台；
4、扎实的NLP和机器学习理论基础，在自然语言处理某个领域有算法基础和落地应用，包括但不限于：文本分类、文本挖掘、无监督/半监督学习、Metric Learning，知识图谱，图算法等；
5、具备良好的业务思维、团队合作精神和沟通技巧；
其他信息
语言要求：不限
行业要求：互联网",2023-12-08,猎聘
AIGC(大模型算法)VP,北京-朝阳,150-200k·16薪,5-10年,本科,Query,算法设计,Python,某大厂,电子商务,10000人以上,"职位介绍
Query
算法设计
Python
Perl
工作职责：
1、负责简历解析、职位解析、视频面试、聊天会话等招聘领域内容理解；
2、负责文本中的实体识别、句法分析、语义分析、分类/聚类、关键词提取、query权重、知识推理等工作；
3、与搜索和推荐业务深度结合，能够为其他业务提供基础的NLP技术方案；
4、负责产品和业务中的算法及工程化的实现和调优；
5、调研人工智能、自然语言处理、机器学习等前沿进展，推进新业务。
任职资格：
1、扎实的机器学习、数理统计理论和工程技术基础，有相关研究或工程经验，未脱离一线开发工作；
2、掌握机器学习、深度学习、数据挖掘和NLP、网络架构设计、模型调优等技术
2、使用过自然语言处理常见模型、算法、工具集（如BERT/TinyBERT/GPT，GloVe, coreNLP等），对NLP算法理论有深刻认知；
3、扎实的数据结构和算法设计基础，掌握C/C++或者Java编程，掌握Python/Perl等一门以上脚本语言；
4、初步具备Linux平台开发经验，了解分布式开发环境；
5、有自然语言理解、聊天机器人、海量数据挖掘、知识图谱等研发经验优先；
其他信息
语言要求：不限
行业要求：电子商务",2023-12-08,猎聘
自然语言处理(NLP)算法工程师(J29238),北京-朝阳,20-40k·15薪,1-3年,硕士,知识图谱,自然语言处理,算法研究,58同城,互联网,,"职位介绍
知识图谱
自然语言处理
算法研究
强化学习
Q-learning
语音识别
职责描述：
负责灵犀智能语音语义平台中人机交互（智能客服、智能客服商家版）相关算法研发，包括智能问答、多轮对话、自然语言理解、槽位抽取、知识图谱、强化学习等相关算法研发和产品应用落地
任职要求：
1、较好的编码能力，扎实的数据结构和算法功底
2、熟悉linux开发环境，熟练掌握Java，Python
3、熟悉常见的深度学习、机器学习算法
4、熟悉常见的NLP算法模型，有实际的NLP项目经验
5、有阅读paper、改进算法的能力者加分，专注NLP技术者加分、有专业论文期刊发表者加分
【灵犀智能语音语义平台介绍】
近年来，我们一直聚焦在对话式AI（Conversational AI）领域，自2017年9月研发智能客服开始，我们先后打造了智能外呼、语音质检、智能呼入、语音识别、语音合成等产品和能力，
当前也一直在尝试将大模型能力融合其中。对话式AI的核心是智能语音语义技术，包括语音识别、语义理解、语音合成。我们对这些产品能力进行归拢，统一升级为""灵犀""智能语音语义平台。
【职位亮点】
1、团队氛围好，工程师文化，产品、技术相处融洽，相互学习。
2、每月开展多次产品技术沙龙，分享工作实践、技术前沿、业界产品形态。
3、团队实力强劲，打造多款有口碑的产品，获公司优秀团队、杰出团队奖项（公司最高级别奖项）。
4、每周部门篮球、羽毛球活动，健康锻炼、快乐工作。",2023-12-08,猎聘
