岗位名称,区位,薪资,工作年限,学历,关键词,公司名,企业类别,企业规模,岗位要求,更新时间
自然语言处理算法工程师,北京·海淀区·西北旺,15-30K·14薪,1-3年,本科,"意图挖掘
C/C++
Python
深度学习",华为云计算,计算机服务,10000人以上,"工业AIGC大模型，是大模型领域的一个全新方向，融合了AIGC、LLM和3D图形学等前沿技术。本团队汇聚了AI、图形学、CAD、仿真、EDA等领域的优秀人才，聚焦于通过对3D多模态大模型的构建，在CAD、数字孪生、元宇宙、EDA、MBD等系列领域形成质的突破，助力国产工业软件的整体变革。工业AIGC大模型既是全新的挑战，又是全新的机遇，期待有志者加入，共同实现这一伟大创举。
岗位职责
1. 负责工业AIGC大模型方向上的NLP相关算法研发，包括文生代码、多轮对话、文生3D的前半部分算法等；
2. 追踪和探索自然语言处理/大语言模型等领域的前沿新技术和应用场景，推进团队不断创新；
3. 参与工业AIGC大模型的迭代，包括训练、测试与部署，并进行性能评估和调优；
4. 与产品经理、软件工程师以及其他相关团队紧密合作，将AI技术应用到公司的业务中。
岗位要求
1. 计算机、数学、自动化、人工智能、软件工程等相关专业，有良好的科研素养，能熟读专业论文并做出深入洞察；
2. 有扎实的算法基础，熟悉NLP相关算法与模型，包括实体识别、文本分类、文本生成、问答系统、分词和词性标注、信息抽取等；熟悉CNN、LSTM、Bert、Attention、CRF等算法，熟悉prompt优化、模型微调等，熟悉ICL、CoT/ToT、Learning from Natural Instruction，AI Agent·；有知识图谱、反向强化学习和RAG经验者优先；
3. 精通pytorch、TensorFlow、MindSpore等深度学习框架中任意一种，熟悉LangChain，熟悉ChatGLM、QWen、Minstral等LLM模型中的至少一种，有复杂算法设计、实现、分析和调优能力；
4. 有扎实的工程能力，精通python、c++语言，熟悉docker等工程部署，有3年以上的工作经验；
5. 对新技术敏感，积极主动，有钻研和创新精神，良好沟通和团队合作能力，具备独立的问题分析及解决能力。",更新于：2024-01-27
自然语言处理算法工程师,北京·海淀区·皂君庙,30-60K·15薪,经验不限,本科,NLP,北京字节跳动,移动互联网,10000人以上,"职位描述
1、支持快速增长的内容套件业务，建设垂直领域的知识图谱和标签体系为客户服务；
2、探索NLP技术对中小规模客户的业务支持，提升用户消费核心指标；
3、探索 NLP 相关前沿技术，并应用落地到内容套件的业务场景中。
职位要求
1、扎实的NLP算法基础，对文本分类、相似匹配、序列标注、知识图谱、意图理解、词义消歧等领域有较深入理解和实践经验；
2、熟悉知识图谱构建和推理相关的技术。对关系抽取、关系分类、序列标注、实体对齐、知识推理、图算法等方向有深入的研究和相关应用开发经验；
3、熟悉常用的机器学习和深度学习算法，了解基本的网络模型结构（DNN/LSTM/CNN等）和文本表征方法（LDA/Word2Vec/BERT等），对深度学习训练和推理模型调优有实操经验；
4、熟悉Linux开发环境，有扎实的算法和数据结构功底；
5、良好的问题解决能力、团队合作意识和沟通能力，有相关业务场景实践经验者优先；",更新于：2024-01-25
自然语言处理方向算法工程师,北京·海淀区·上地,8-12K·13薪,1-3年,本科,"机器学习
大模型算法
自然语言处理算法
Python
算法工程化经验",中科院信工所,信息安全,1000-9999人,"职位职责：
1. 设计、开发和优化自然语言处理算法和数据挖掘模型，用于文本分类、情感分析、实体识别、关系抽取等任务。
2. 研究和实现自然语言处理与机器学习算法的最新进展，以提高系统的性能和效率。
3. 处理和分析大规模文本数据，从中挖掘出有价值的信息和模式。
4. 与团队成员合作，解决实际问题并将算法应用到实际产品中。
职位要求：
1. 本科及以上学历，计算机科学、人工智能、数据科学或相关专业背景。
2. 具备扎实的自然语言处理和数据挖掘理论基础，熟悉常用的算法和模型，如词嵌入、循环神经网络、卷积神经网络、注意力机制、预训练语言模型等。
3. 熟练掌握Python编程语言，具备良好的编码和调试能力。
4. 具备数据处理和分析的经验，熟悉常用的数据挖掘工具和技术，如Pandas、NumPy、Scikit-learn等。
5. 熟悉深度学习框架，如TensorFlow、PyTorch等，并有相关项目经验者优先考虑。
6. 具备良好的沟通能力和团队合作精神，能够与不同背景的团队成员高效协作。",更新于：2024-01-26
自然语言处理工程师,北京·海淀区·学院路,18-35K·15薪,1年以内,本科,"Python
TensorFlow
计算机相关专业
自然语言处理项目经验
知识图谱相关经验",杰谱特,计算机软件,20-99人,"岗位描述：
负责公司大模型的研发和应用，解决大模型在垂直领域的落地问题
工作内容：
基于垂直领域数据的大模型适配和调优，参与前沿论文复现、模型技术调研，并根据实际客户场景进行数据收集及清洗、模型迭代、评估等
职位要求
1、优秀的代码能力、数据结构和基础算法功底，熟练C/C++或Python，ACM/ICPC、NOI/IOI、Top Coder、Kaggle等比赛获奖者优先；
2、熟悉NLP相关的算法和技术，熟悉大模型预训练、微调、以及RL算法者优先；
3、在大模型领域，主导过大影响力的项目或论文者优先；
4、出色的问题分析和解决能力，能深入解决大模型训练和应用存在的问题；
5、良好的沟通协作能力，能和团队一起探索新技术，推进技术进步。",更新于：2024-01-27
自然语言处理,北京·海淀区·五道口,30-60K·14薪,经验不限,本科,"自然语言处理项目经验
知识图谱相关经验
大模型",面壁智能,计算机服务,20-99人,"岗位职责：
1. 参与大规模预训练语言模型的研发、部署、微调,主要涉及功能实现、性能优化、系统调优、硬件适配等工作;
2. 基于公司业务场景需求进行NLP相关研发;
3. 根据需求复现相关自然语言处理算法;
4. 参与前沿算法与应用的研究。
任职资格：
1. 自然语言处理、机器学习及相关专业;
2. 较强的算法开发能力，熟悉C++、python、shell、cuda等一种或多种编程语言;
3. 掌握传统NLP、深度学习NLP相关算法，并具有相关实战经验;
4. 熟练使用 Pytorch 深度学习框架；
5. 对深度学习、Transformer、预训练有一定深度的理解和经验,能根据论文复现相关算法,有大规模预训练模型研发和训练经验者优先;
6. 高质量相关论文ACL，EMNLP，COLING，NAACL作者优先；
7. 可接受有大模型研究经历的应届生。
我们的福利：
国内顶尖大模型团队；全员Mac pro办公；配备人体工学座椅；五险一金（全额缴纳）；补充医疗；每年12天带薪年假；餐补；全员年度体检；零食下午茶无限畅享；月度团建；员工年度旅游。",更新于：2024-01-26
NLP 自然语言处理,北京,13-22K,1-3年,大专,"Java
自然语言处理项目经验
计算机相关专业
数学/统计相关专业
Python
TensorFlow",盈科千信,互联网,100-499人,"岗位职责：
1、集成和实施自然语言处理模型，如Transformer-based模型等
2、负责自然语言处理相关算法工作，如文本分类、情感分析、实体识别、关系抽取、知识图谱等大语言模型的训练、对齐、任务调优等工作
2、通过对数据的敏锐洞察，进行数据挖掘、分析工作，并用于实际问题的解决和优化
3、结合产品和业务场景实现技术落地
【任职资格】
1、计算机、数学、统计、人工智能等相关专业本科以上学历，2年以上工作经验
2、Python/Java技术背景，对数据结构和算法有深入理解和研究
3、熟悉 Transformer、Bert、RoBERTa、T5、GPT 等预训练模型
4、熟练使用TensorFlow、Pytorch等深度学习框架并有1个以上工程化项目经验
5、具有较好的团队沟通合作能力、理解能力和抗压能力，有责任心和自驱力",更新于：2024-01-19
自然语言处理工程师_外派500强外企,北京·朝阳区·望京,13-19K,1年以内,本科,"文本生成
大数据处理工具(Spark/Hadoop/Hive)
深度学习",Syntronic,通信/网络设备,500-999人,"外派康明斯中国（500强外企），入职缴纳六险一金，超长带薪年假。
工作概要:
-研究和开发自然语言处理算法 (文本分类，语义分割，实体识别等)
-将自然语言处理、深度学习和其他领域的算法应用于实际场景，如知识图谱，问答系统，推荐系统等
-优化当前的模型，排除故障和调试模型帮助工程团队将其整合到实际生产应用中
主要职责:
统计学、计算机科学、数据科学、数学或汽车工程或密切相关的 STEM 领域的本科或硕士；
良好的自学、分析、写作和沟通能力；
在一个快节奏的团队环境中提供技术贡献，以加快我们建立一个分析驱动的产品通道；
评估需求并推荐实验、数据和项目，建议新的算法开发，推动关于方法和所需数据的战术决策；
使用深度学习和机器学习算法，以及高级数学模型来提供洞察力、建议和解决方案；
开发可持续的、可消费的、准确的、有影响力的关于模型输入、模型输出、观察输出和关键绩效指标(KPI)的报告；
向团队成员和利益相关者展示令人信服的、经过验证的故事。
资格和能力：
-在深度学习和机器学习算法方面有比较熟练的掌握；
- 熟悉 Python NLP/ML 工具; Bert、Transformer、Attention、CRF、Sklearn、Numpy，以及至少-个深度学习包 (Tensorflow/PvTorch/Keras)有开发、训练和评估深度学习和机器学习模型的经验；
-在实现自然语言处理的深度学习架构方面有一定的理论基础和实践经验。",更新于：2024-01-27
自然语言处理算法,北京·朝阳区·大望路,18-35K,经验不限,本科,"Python
PyTorch
自然语言处理项目经验
人机对话相关经验
知识图谱相关经验",云客,企业服务,100-499人,"工作职责：
研发、集成和实施先进的自然语言处理模型，如transformer-based模型、GPT-4、BERT等等。
利用自然语言处理技术进行信息提取，情感分析，文本分类等任务，并和大语言模型进行整合，推出产品。
收集，清洗，处理和分析大规模文本数据，以提供高质量的训练数据集。
与产品和工程团队紧密合作，理解和定义项目需求，并可以指导工程团队的开发工作。
关注最新的自然语言处理技术动态，快速吸收并实践新出现的模型和方法。
任职资格：
计算机科学，人工智能，机器学习，语言学或相关领域的本科、硕士或博士学位。
至少3年的自然语言处理，机器学习或相关领域的工作经验。
对深度学习和自然语言处理技术有深入理解，包括但不限于词嵌入，序列建模，注意力机制等。
熟练掌握Python编程，以及相关的库如TensorFlow, PyTorch, Keras等。
对新出现的自然语言处理模型有深入理解，如GPT-4，BERT等，且能够快速上手搭建这些模型。
优秀的问题解决和批判性思考能力。
强大的团队协作和沟通技巧。
优先考虑：
具有独立开发并实施自然语言处理系统的经验。
具有大规模数据处理经验。
已经发表过自然语言处理或机器学习相关的学术论文。",更新于：2024-01-24
自然语言处理,北京,40-60K·16薪,经验不限,本科,"机器翻译
文本生成
语音算法
Java
优秀开源项目经历
NLP",某大型知名互联网公司,互联网,10000人以上,"职位描述1、负责百科场景的大模型预训练和微调的工作，优化生成模型的效果，服务百科业务需求； 2、基于AIGC技术优化产品质量和效果，提升效率，改善用户体验； 3、基于知识图谱的SPO数据生成结构化内容，提升数据的准确性和时效性。 职位要求1、本科及以上学历，有一定的NLP项目经验，计算机相关专业背景优先； 2、熟悉LLM相关技术，有技术追求，能够熟练使用技术解决业务问题； 3、动手能力强，能快速做技术调研和实验，积极主动； 4、日常中注重合作，有良好的沟通表达能力，勇于迎接挑战。
职位描述1、负责百科场景的大模型预训练和微调的工作，优化生成模型的效果，服务百科业务需求； 2、基于AIGC技术优化产品质量和效果，提升效率，改善用户体验； 3、基于知识图谱的SPO数据生成结构化内容，提升数据的准确性和时效性。 职位要求1、本科及以上学历，有一定的NLP项目经验，计算机相关专业背景优先； 2、熟悉LLM相关技术，有技术追求，能够熟练使用技术解决业务问题； 3、动手能力强，能快速做技术调研和实验，积极主动； 4、日常中注重合作，有良好的沟通表达能力，勇于迎接挑战。",更新于：2024-01-26
自然语言处理算法工程师(021924),北京·朝阳区·太阳宫,25-40K,经验不限,学历不限,"语音算法
对话系统
Python
大模型算法
自然语言",长城汽车,汽车研发/制造,10000人以上,"岗位职责:
1.负责对话机器人、智能客服相关的NLU算法研究和开发，包括但不限于自然语言的意图分析、实体抽取、对话状态管理、对话生成、知识问答等算法的研究工作；
2.深入分析用户的使用数据，设计并实验新的优化自言语言理解整体效果的方法；
3.探索业界最新的研究成果，结合实际业务，落地到产品。
任职要求:
1.工作1年以上，具有自然语言处理、模式识别或者机器学习相关专业硕士以上学历；
2.有知识问答系统、语音对话系统等相关开发经验者优先；
3.有Word Embedding、RNN、transformer、BERT等算法相关工作经验者优先；
4.扎实的Java或者Python的编程能力。",更新于：2024-01-25
自然语言处理算法,北京,40-70K,经验不限,本科,"自然语言处理项目经验
知识图谱相关经验
人机对话相关经验",某知名企业,互联网,10000人以上,"岗位职责
1、参与建设NLP大模型训练工程体系，优化千卡规模分布式训练的性能和稳定性，探索行业前沿的技术并落地。
任职要求
1、本科及以上学历，精通python和C++，具备优秀的工程实现能力和系统设计能力；
2、精通PyTorch、Megatron、DeepSpeed等框架和各种并行策略，有大规模分布式训练性能优化的经验；
3、掌握cuda编程和常见算子优化方法和开源实现，有能力对特定模型结构进行深度性能优化；
4、熟悉深度学习原理，深入了解Transformer等模型架构和常见的优化方法；
5、具备良好的沟通能力、团队协作精神和强烈的责任心、自驱力。",更新于：2024-01-26
自然语言处理/NLP,北京,30-60K·16薪,经验不限,本科,"Python
C/C++
Java
自然语言处理项目经验
大型对话系统
大横型训练",某大型社交网络公司,社交网络,100-499人,"工作职责：
1、利用 NLP 技术在大量文本中进行数据挖掘及文本处理，包括文本相关性模型、命名实体识别等、
2、承担预训练模型的训练、开发和调优工作,包括但不限于:prompt 设计、大模型 finetuning、大模型训练
3、紧跟前沿 NLP 生成技术，解决实际应用场景中的内容生成问题
4、负责对话系统平台搭建和研发工作
任职要求：
1、计算机相关专业硕士、博士或者优秀本科
2、熟练掌握 Python/C++/Java 中至少一门语言，熟练掌握 tensorlow/pytorch/keras 等深度学习框架
3、熟悉 BERT系列以及GPT 系列等预训练模型，熟悉 Transformer 等深度学习模型，熟悉主流文本生成的原理和方法，有结合业务的落地经验者优先
4、过往有参与过大型对话系统、大横型训练和部罢经验者优先
5、有 ACL、EMNLP、ICLR 等会议论文发表者优先
6、良好的自驱力，较强的团队合作精神",更新于：2024-01-26
app.风控、算法、数据挖掘工程师,北京·朝阳区·大望路,75-80K,经验不限,本科,"深度学习
大模型算法
强化学习
推荐算法
搜索算法
风控算法
Python
并行计算
嵌入式开发
算法工程化经验
团队管理经验
优秀开源项目经历",耀坤网络科技,计算机软件,,寻可以做某红书的点赞数据这类技术、一手大量资源、绕些风控这类技术、能做的有经验者详聊，薪资方面或合作方面都可以谈、价钱包满意、有技术者找我。,更新于：2024-01-27
机器学习/数据挖掘/自然语言处理工程师,北京,25-30K·16薪,1-3年,本科,计算机相关专业,百度在线,互联网,10000人以上,"【工作职责】：
1. 负责业内领先搜索算法、内容理解算法的调研和评估，通过传统机器学习和超大规模深度学习算法（NLP/多模态），打造业界领先的千亿级别网页内容理解技术体系
2. 设计策略和算法及分析系统的技术缺陷，对策略和系统做出合理的优化升级；
【任职要求】：
1. 本科及以上学历，计算机相关专业；
2. 岗位一需熟练使用C/C++，岗位二熟练使用C/C++/Python等其中一门语言即可；熟悉常用数据结构及算法，有一定linux使用经验优先；
3. 岗位二需熟悉机器学习、数据挖掘、自然语言处理等常用算法，有相关项目经验、深度学习经验者优先；
4. 工作积极主动，具有强烈的责任心，务实，具备良好的团队合作精神和沟通意识；
5. 具有突出的学习理解能力、逻辑思维能力、沟通协作能力和抗压能力，善于分析问题和解决问题；",更新于：2024-01-27
数据挖掘（搜索推荐）,北京·朝阳区·西坝河,50-80K·14薪,1-3年,本科,"Java
机器学习经验
大数据处理经验
风控相关经验",BOSS直聘,人力资源服务,1000-9999人,"工作职责
- 研究数据挖掘或统计学习领域的前沿技术,并用于实际问题的解决和优化
- 广告投放方向数据和策略的挖掘，帮助客户实现智能化投放
-通过对数据的敏锐洞察,深入挖掘产品潜在价值和需求,进而提供更有价值的产品和服务,通过技术创新推动产品成长
职责要求：
-热爱互联网，对技术研究和应用抱有浓厚的兴趣，有强烈的上进心和求知欲，善于学习和运用新知识
-具有以下一个或多个领域的理论背景和实践经验：机器学习/数据挖掘/深度学习/信息检索/自然语言处理
-至少精通一门编程语言，熟悉网络编程、多线程、分布式编程技术，对数据结构和算法设计有较为深刻的理解
-良好的逻辑思维能力，对数据敏感，能够发现关键数据、抓住核心问题
-较强的沟通能力和逻辑表达能力，具备良好的团队合作精神和主动沟通意识",更新于：2024-01-26
数据挖掘（轨迹数据处理）,北京·丰台区·丽泽,12-24K·14薪,1-3年,本科,"数据挖掘
算法",亿海蓝,互联网,100-499人,"岗位职责：
1、针对具体业务场景，抽象数据需求，基于现有特征体系与算法模型，解决业务问题；
2、调研和应用数据挖掘算法，从海量轨迹数据中挖掘船舶行为特征，建设丰富的船舶行为特征体系；
3、负责基于轨迹数据的算法策略开发，利用数据挖掘算法，构建船舶基础数据，沉淀轨迹处理工具。
任职要求：
1、硕士学历，优秀本科也可，统计学、数学、计算机等相关专业；
2、优秀的逻辑思维、学习能力和理解沟通能力，能快速理解业务需求，对数据敏感；
3、熟悉主流的机器学习和深度学习的模型，有相关的算法实际应用的案例与经验；
4、熟练掌握大数据处理与分析的工具与框架；
5、具有时空轨迹数据处理经验者优先。",更新于：2024-01-25
数据挖掘-定价,北京·昌平区·龙泽,30-50K·15薪,3-5年,本科,"定价
数据挖掘",滴滴,移动互联网,1000-9999人,"【岗位职责】
* 设计、实现和优化定价算法，确保最佳利益平衡，提高货运服务的效益。
* 开发和改进补贴增长算法，确保货运司机和用户的利益，促进业务的可持续增长。
* 与产品团队和业务团队密切合作，深入了解业务需求，找到业务增长的机会和挑战。
* 运用数据分析和机器学习技术，对业务数据进行挖掘和建模，提供有效的业务解决方案。
* 研究最新的算法技术和行业趋势，不断学习和改进算法模型，提高系统性能和效果。
* 协作团队成员，进行项目规划和进度管理，确保算法开发和优化工作的顺利进行。
【任职资格】
* 工作年限2-5年左右
* 计算机科学、数据科学、应用数学、统计学或相关领域。
* 扎实的数据结构和算法基础，熟悉常见的算法（如因果分析、统筹优化等、进化学习等）和数据挖掘技术。
* 熟练掌握至少一种编程语言，如Python、Java或C++。
* 具备数据分析和建模经验，熟悉常用的数据科学工具和库，如NumPy、Pandas、Scikit-learn等。
* 熟悉机器学习算法和深度学习框架，如TensorFlow、PyTorch等。
* 具备良好的问题解决能力和团队合作能力，能够高效地与不同团队进行沟通和协作。
* 对于业务和行业有敏锐的洞察力，善于发现并解决业务增长中的挑战和机遇。",更新于：2024-01-26
机器学习/数据挖掘算法工程师【核心】,北京·海淀区·上地,30-50K·14薪,经验不限,本科,"大模型算法
推荐算法
Python
nlp
自然语言处理",作业帮,互联网,10000人以上,"岗位职责：
1. 基于多场景的用户行为，负责拉新变现业务场景的用户挖掘、用户刻画、用户排序、用户流转等算法；
2. 参与并探索变现转化业务场景相关算法，对算法模型进行优化和分析，最终提升效果转化效率
3. 对效果进行归因和分析，并跟踪和探索前沿技术
岗位要求：
1.精通python/c++/shell等常用语言，对数据结构和算法设计有较为深刻的理解;
2.熟悉一种或多种深度学习框架，包括Tensorflow/PyTorch/Caffe等
3.常用数据挖掘/机器学习算法原理并实际运用
4.扎实良好的数学基础,良好的英语阅读能力,具备根据论文独立实现算法的能力
5.计算机及相关专业本科以上学历，1年以上工作经验",更新于：2024-01-26
毫米波雷达数据挖掘算法工程师,北京,20-30K·13薪,1-3年,本科,"Python
HMM、LSTM
时序数据分析与处理
云计算",清雷,医疗健康,20-99人,"职位描述：包括但不限于1）构建医学金标准数据和雷达生命体征监测数据的映射模型；2）对雷达采集的单日夜间睡眠数据（包括呼吸率、心率、体动等）做睡眠分期；3）基于单用户长期睡眠数据做行为规律分析、疾病预警等；4）开发、部署、维护云端算法引擎；岗位要求：1）本科：4年以上经验，硕士：2年以上经验即可2）深刻理解时序数据分析与处理方法，如HMM、LSTM等；熟练使用Python编程语言；熟练使用numpy、scipy、pandas等库；有Python云端算法部署经验和云端数据库操作经验。
有使用 HMM 做分类识别任务的项目经验”优先",更新于：2024-01-25
数据挖掘工程师-营销产品,北京·海淀区·双榆树,30-60K,经验不限,本科,"风控相关经验
金融行业数据相关经验
广告算法",字节跳动,移动互联网,10000人以上,"职位描述：
1、负责数据智能营销产品的数据研发工作，参与设计并落地广告业务场景下的数据计算链路，包括客户数据接入，客户效果数据的统计与分析；
2、负责字节全域数据挖掘依赖的数据源架构设计，为下游算法提供鲁棒的数据中间层；
3、全面理解字节系数据，支持洞察相关的数据业务应用，同时通过分析，挖掘等技术手段向业务输出增量的用户画像或者特征。
职位要求：
1、熟悉广告业务包括归因，广告效果统计等数据研发技术；能够熟练设计数仓分层，高效支持下游算法和数据挖掘；具备面向客户交付数据分析和洞察结果的能力；
2、动手能力强， 熟悉SQL，Python，能熟练处理海量数据；
3、良好的逻辑思维能力，优秀的数据敏感度，定位数据问题和分析数据能力优；
4、良好的团队合作精神, 较强的沟通能力。",更新于：2024-01-26
数据挖掘工程师,北京,30-50K·15薪,经验不限,本科,数据挖掘,某大型互联网公司,互联网,1000-9999人,"工作职责：
1、负责风险管理情报数据分析、挖掘等工作，利用数据分析工具和技术，对企业内外风险因素进行分析和预测。
2、负责编写和执行数据分析程序以及制作可视化分析报表，为团队及相关业务部门高效决策提供支持。
3、协助开发数据分析平台和工具，提高数据分析与挖掘效率，提升情报数据及风控数据分析的效率。
4、参与风控策略、政策的制定和风险预警预测工作，协助公司及时发现和解决风险问题。
任职资格：
1、熟练掌握SQL、Python等数据分析工具和技术，熟悉数据挖掘、机器学习等相关算法。
2、对于数据分析有较高的业务理解和技术驾驭能力，具备一定的数据建模和统计学知识。
3、具备一定的风控理论和知识，熟悉风险管理体系，有丰富的风控或数据挖掘行业经验者优先。
4、具备良好的沟通表达能力和团队协作精神，具备较强的学习能力和适应能力。
5、本科及以上学历，数学、统计学、计算机科学、金融等相关专业优先考虑。",更新于：2024-01-26
数据挖掘分析-（偏算法模型）,北京·顺义区·马坡,18-28K,5-10年,本科,"深度学习
机器学习
推荐算法
通信算法
模型加速/性能优化
Python
SQL
大数据处理框架(Spark/Hadoop/Hive)",索信达,大数据,1000-9999人,"数据挖掘分析-（偏算法模型）
岗位职责：
1、主导银行数据挖掘建模分析及开发，承担机器学习模型的数据探索分析、数据加工、建模、效果评估与上线工作；
任职要求：
1、具有3年及以上互联网或金融行业算法模型开发、数据挖掘开发类工作经验，项目经验优先考虑做过反洗钱分析、风控、零售营销、推荐、特征挖掘、图谱、NLP等应用场景的；
2、熟练使用sql做数据探查和分析，熟练掌握Python与Spark开发，熟悉常用的机器学习算法(LR、XGB等)；
3、具备良好的沟通协调能力与团队协作意识，做事细心严谨
4、本科及以上学历，4年工作经验，计算机相关专业优先；
5、金融或互联网从业经验者优先；",更新于：2024-01-27
python数据挖掘建模岗,北京·朝阳区·朝青,14-20K,5-10年,本科,Python,中电金信,计算机软件,10000人以上,"岗位职责：
1、python比较熟，建模/分析，模型包
2、建模的经验，全流程的经验，包括前面的特征变量的加工处理
3、零售金融领域有过了解，业务的了解
4、不用深度学习，主要是统计学基础的模型，主要是营销类的模型，风控的比较少
任职要求：
1、熟悉python，包括NumPy、Pandas、Matplotlib、Scikit-learn和TensorFlow等常用的包
2、2年以上的数据分析和数据挖掘建模经验，具有完备的数据采集、清洗、整理、分析经历
3、熟练掌握常见的机器学习算法模型及原理，如线性回归、逻辑回归、决策树、Boosting、Bagging、SVM、GBDT、XGboost等。",更新于：2024-01-26
数据挖掘工程师,北京·海淀区·清河,9-14K·13薪,1-3年,本科,"风控相关经验
用户画像/标签体系相关经验
大数据处理经验
Python",金信网银,咨询,100-499人,"岗位职责：
1.根据业务需求，对多源数据进行深度诊断性组合分析，建立金融分类模型指标体系；
2.利用大数据、机器学习、深度学习建立金融风险监测预警模型；
3.创建数据挖掘和建模相关的核心算法和代码，实现流程自动化；
4.基于对业务的深入理解，研究前沿的AI技术，并应用于业务中解决实际问题。
任职要求：
1.一本以上学校，至少本科学历（强制要求，不符合勿投），数学/统计学/计算机类专业背景；
2.掌握统计模型、机器学习模型算法，有应用经验更佳；
3.能熟练使用Excel、SQL、R、Python等进行数据处理和分析（Python是强制要求）；
4.有数据建模项目（互联网金融领域）经验者优先；
5.对数据敏感，逻辑思维能力好，有较强的执行力和沟通能力，勇于接受挑战。
你可以得到:
1.GOV金融监管科技赛道的风险画像工程经验
2.深度参与私有化实现AI大模型工程
3.参与风险控制全链条产品的建设
4.每年两次晋升机会，激励杰出贡献的员工，有能力，无上限",更新于：2024-01-25
广告反作弊数据挖掘工程师,北京·海淀区·双榆树,30-60K·15薪,3-5年,本科,"Java
Python
C/C++
大数据处理经验
机器学习经验
自然语言处理经验",抖音,互联网,,"广告反作弊数据挖掘工程师
北京
职位描述：
1、负责竞价广告及品牌广告反作弊系统的系统设计及策略优化；
2、通过海量数据，分析与挖掘各种潜在关联，从而不断优化反作弊效果，更好地识别作弊流量，保障客户利益和公司长远健康发展；
职位要求：
1、计算机或安全相关专业本科及以上学历；
2、熟悉机器学习、数据挖掘、数据分析、分布式计算至少某一方面，有较深的理论研究和实践经验
3、精通至少一门编程语言，熟练运用各种常用算法和数据结构，有独立的实现能力
4、有互联网相关反作弊工作经验者优先；
5、具备优秀的逻辑思维能力，对解决挑战性问题充满热情，善于解决问题和分析问题；
6、良好的团队合作精神，较强的沟通能力和学习能力；
7、有数据分析及数据挖掘相关工作经验者优先。",更新于：2024-01-26
数据挖掘&建模岗,北京·朝阳区·大望路,25-35K·14薪,1-3年,本科,"Python
R",邦邦汽服,4S店/后市场,100-499人,"职位描述
主要工作内容
1. 深度沟通解读业务需求，充分理解数据，进行数据清洗；使用可视化技术呈现和表达数据基本情况，快速生成统计性描述报告。
2. 使用统计建模/机器学习等算法，针对各种场景的业务问题进行数据分析、规律挖掘和模型设计开发，并根据效果反馈迭代优化。
3. 探索前沿技术，不断提升特征和模型效果、效率，解决业务问题、助力业务持续增长。
4. 协同产品运营，向客户输出模型的解释性结论与发现的数据价值。
任职要求
1. 数据科学、计算机、统计、数学相关专业本科及以上学历。
2. 熟悉机器学习算法（回归、分类、聚类）进行数据分析及建模。
3. 具备模型部署、模型接口开发经验者优先；独立领导负责过较大型数据分析建模项目者优先；有数据挖掘类比赛获奖或相关论文发表者优先。
4. 两年以上 Python 使用经验，熟练使用scikit-learn；熟练使用至少一种数据库及对应查询语言，如 MySQL/PgSQL 等。
5. 具备良好的数据可视化能力，包括数据意识和技术手段如 Python/R、Excel、Tableau。
6.积极、主动，善于倾听与沟通需求，具有快速的学习能力与优秀的团队合作精神。",更新于：2024-01-26
风控情报数据挖掘工程师,北京·朝阳区·亚运村,25-50K·15薪,3-5年,本科,"Python
不限
风控相关经验
机器学习经验
情报挖掘
情报
数据挖掘",小红书,电子商务,1000-9999人,"工作职责：
1、负责风险管理情报数据分析、挖掘等工作，利用数据分析工具和技术，对企业内外风险因素进行分析和预测。
2、负责编写和执行数据分析程序以及制作可视化分析报表，为团队及相关业务部门高效决策提供支持。
3、协助开发数据分析平台和工具，提高数据分析与挖掘效率，提升情报数据及风控数据分析的效率。
4、参与风控策略、政策的制定和风险预警预测工作，协助公司及时发现和解决风险问题。
任职资格：
1、熟练掌握SQL、Python等数据分析工具和技术，熟悉数据挖掘、机器学习等相关算法。
2、对于数据分析有较高的业务理解和技术驾驭能力，具备一定的数据建模和统计学知识。
3、具备一定的风控理论和知识，熟悉风险管理体系，有丰富的风控或数据挖掘行业经验者优先。
4、具备良好的沟通表达能力和团队协作精神，具备较强的学习能力和适应能力。
5、本科及以上学历，数学、统计学、计算机科学、金融等相关专业优先考虑。",更新于：2024-01-26
数据挖掘工程师—国企银行+免费班车,北京·朝阳区·朝青,13-22K,3-5年,本科,"Java
Python
Scala
scikit-learn
TensorFlow",法本,计算机软件,10000人以上,"岗位要求：
1.具备扎实的数据挖掘、机器学习和统计分析知识，熟悉常用的数据挖掘算法和技术。如：FM\LSTM\LGBM\RL等
2.熟练掌握至少一种主流的数据挖掘和大数据统计建模工具，如Python中的scikit-learn、TensorFlow等，spark、Hive、SQL等。
3.有丰富的数据清洗、数据预处理和特征工程经验，能够处理各种类型的数据（结构化和非结构化）。
4.具备良好的编程能力和技术实现能力，至少熟悉一门编程语言，如python、Java、Scala等
5.具备良好的问题解决和分析能力，能够理解和提出合适的数据挖掘方法来解决业务问题,有一定的数据挖掘项目经验。
加分项：熟悉知识图谱，nlp，图神经网络算法领域知识，有图相关项目、nlp项目优先",更新于：2024-01-26
